team_no,knowcat_1,knowcat_2,knowcat_3,knowcat_4,knowcat_5,knowcat_6,mtxScore,nsScore,crtScore,bnScore,aotScore,nfcScore
0,0.669755134,0.873829609,-0.090059344,0.673046507,-0.416793194,0.831933339,0.247048983,0.506687742,-0.084599818,1.433858043,0.833016701,-0.337683734
0,-0.847705635,0.003093202,0.509981022,-0.572280004,-0.257525387,-1.41834071,0.247048983,0.506687742,-0.084599818,-0.753185516,0.833016701,0.595357013
0,0.467427031,1.04797689,1.210028116,-0.468502795,1.812956095,-0.453937546,0.247048983,1.394903202,0.947090376,1.433858043,0.833016701,0.995231619
0,0.062770826,-0.693495923,-1.090126622,1.191932553,1.016617063,0.510465618,1.299421571,1.394903202,0.947090376,1.433858043,-0.168501954,1.395106225
0,0.872083236,0.525535046,0.109954111,-0.883611632,0.220278032,1.15340106,-0.279137312,0.506687742,0.947090376,-0.753185516,0.49917715,-0.071100663
0,1.883723749,-1.738379611,0.709994477,-0.572280004,1.016617063,1.796336503,-0.805323606,-1.713850909,-2.147980205,-1.482200036,-2.171539264,0.195482407
1,1.074411339,-1.215937767,-0.390079528,0.154160461,0.061010225,0.188997897,1.299421571,0.950795472,0.947090376,1.433858043,0.49917715,1.794980831
1,0.163934878,0.525535046,-0.090059344,0.673046507,-0.257525387,-0.293203685,-0.805323606,0.950795472,0.947090376,1.433858043,-0.168501954,0.995231619
1,-0.544213481,-1.041790486,-1.290140077,-0.572280004,-0.894596613,-0.132469825,0.773235277,1.394903202,0.947090376,1.433858043,1.166856253,0.462065478
1,0.467427031,1.04797689,0.309967566,-0.779834423,-0.098257581,0.9926672,0.247048983,0.506687742,-0.600444914,-0.024170997,-0.168501954,-0.337683734
1,-0.746541584,0.003093202,1.410041571,-0.779834423,-0.576061,-1.739808431,-0.279137312,-1.269743179,0.947090376,-0.753185516,0.165337598,0.062190872
1,-0.645377532,-1.215937767,0.309967566,0.569269298,1.016617063,-0.936139128,0.773235277,-0.825635448,0.431245279,0.704843523,0.165337598,-0.337683734
2,0.770919185,1.396271453,0.409974294,0.569269298,1.335152676,-0.293203685,0.247048983,0.506687742,0.947090376,-0.753185516,0.165337598,-0.870849875
2,-0.847705635,-1.215937767,-1.690166988,-1.19494326,-1.372400031,-0.936139128,-0.805323606,0.062580012,-2.147980205,-0.024170997,-0.168501954,-1.404016016
2,0.669755134,0.003093202,1.91007521,1.399486972,-0.098257581,0.188997897,0.773235277,0.950795472,0.431245279,0.704843523,-1.837699712,-0.470975269
2,-1.454689943,-0.171054079,-0.890113166,0.050383251,-1.531667838,0.188997897,0.247048983,-2.157958639,-1.116290011,-1.482200036,-1.170020609,-0.770881224
2,1.580231595,-3.131557862,-0.890113166,0.984378135,0.220278032,-1.41834071,-0.279137312,-2.602066369,-0.084599818,0.704843523,0.49917715,-0.470975269
2,0.36626298,-0.519348642,0.309967566,0.569269298,-0.098257581,0.349731757,0.247048983,0.506687742,-0.084599818,-0.024170997,-0.502341505,0.195482407
3,-0.746541584,-0.519348642,0.109954111,-0.987388841,-0.098257581,0.028264036,0.773235277,0.062580012,0.431245279,-0.024170997,-0.502341505,0.995231619
3,-0.948869686,-0.693495923,0.60998775,-0.157171167,-0.416793194,0.9926672,-0.279137312,-2.602066369,-2.147980205,-1.482200036,0.165337598,-2.736931369
3,-0.240721327,-0.345201361,-0.590092983,0.154160461,-0.257525387,-1.41834071,0.773235277,0.506687742,0.947090376,-0.753185516,0.165337598,-0.73755834
3,-0.341885379,-0.519348642,-1.490153533,-1.19494326,-0.894596613,-1.096872988,0.247048983,-0.381527718,0.431245279,-0.024170997,1.166856253,-0.73755834
3,3.300020467,0.525535046,1.610055027,0.984378135,-1.053864419,0.9926672,0.247048983,0.506687742,0.947090376,0.704843523,1.166856253,-0.337683734
3,-0.948869686,1.04797689,1.01001466,0.465492088,0.698081451,-1.257606849,0.247048983,-0.825635448,0.947090376,1.433858043,-1.170020609,-0.870849875
4,-0.544213481,-1.215937767,-1.390146805,-2.440269771,0.061010225,-1.41834071,-0.279137312,-2.157958639,-2.147980205,-1.482200036,-1.170020609,-0.204392199
4,-1.555853994,2.26700786,-0.090059344,-0.987388841,1.016617063,-1.739808431,-0.805323606,1.394903202,0.947090376,1.433858043,0.165337598,0.595357013
4,-0.240721327,0.873829609,1.01001466,0.984378135,0.061010225,0.510465618,-0.279137312,-2.157958639,0.431245279,-1.482200036,-0.168501954,-0.204392199
