0.083,0.013,0.083,0.011,0.079,0.012
0.061,0.013,0.083,0.010,0.026,0.083
0.083,0.008,0.011,0.083,0.060,0.031
0.018,0.083,0.083,0.064,0.011,0.010
0.013,0.083,0.012,0.010,0.083,0.067
0.010,0.013,0.070,0.083,0.011,0.083
0.010,0.021,0.065,0.083,0.083,0.010
0.012,0.012,0.083,0.070,0.011,0.083
0.010,0.012,0.011,0.071,0.083,0.083
0.013,0.068,0.012,0.010,0.083,0.083
0.083,0.072,0.010,0.083,0.010,0.013
0.014,0.083,0.083,0.010,0.011,0.068
0.083,0.056,0.083,0.028,0.014,0.011
0.067,0.083,0.011,0.083,0.011,0.014
0.073,0.083,0.012,0.011,0.083,0.011
0.083,0.008,0.013,0.074,0.013,0.083
0.082,0.012,0.083,0.009,0.083,0.011
0.012,0.083,0.012,0.018,0.083,0.060
0.009,0.083,0.073,0.011,0.083,0.011
0.013,0.083,0.018,0.083,0.056,0.014
0.083,0.012,0.075,0.012,0.013,0.083
0.083,0.014,0.013,0.083,0.009,0.072
